question_id,pipeline,expected_kind,question,answerable,expected_pages,first_relevant_rank,recall_at_1,recall_at_3,recall_at_5,answer,insufficient_evidence,normalized_answer_match,citation_integrity_valid,citation_page_correct,precise_provenance_available,cited_pages,retrieval_duration_ms,generation_duration_ms,total_duration_ms,evidence_token_count,result_status,result_note
Q06,baseline,picture,What readiness percentage was achieved in Q4?,True,[6],1,True,True,True,The Q4 readiness value achieved was 92 percent.,False,True,True,True,False,"[4,5,6,7,8,9,10]",222,1942,2183,1913,pass,
Q06,docling_standard,picture,What readiness percentage was achieved in Q4?,True,[6],1,True,True,True,The Q4 readiness percentage achieved was 92%. [E1],False,True,True,True,True,[6],502,2117,2650,293,pass,
Q07,baseline,picture,Where does the Sensor Gateway send telemetry?,True,[7],2,False,True,True,The Sensor Gateway sends telemetry to the Validation Service.,False,True,True,True,False,"[4,5,6,7,8,9,10]",355,1841,2217,1913,pass,
Q07,docling_standard,picture,Where does the Sensor Gateway send telemetry?,True,[7],1,True,True,True,The Sensor Gateway sends telemetry to the Validation Service.,False,True,True,True,True,[7],232,1821,2087,326,pass,
Q08,baseline,text,What recovery window is stated in the scanned appendix?,True,[8],,False,False,False,"The supplied evidence does not include the contents of the scanned appendix (page 8), so the stated recovery window cannot be determined from the available material.",True,False,,,,[],278,1920,2223,1913,fail,representation miss; answer mismatch
Q08,docling_standard,text,What recovery window is stated in the scanned appendix?,True,[8],1,True,True,True,The scanned appendix states a maximum recovery window of 15 minutes.,False,True,True,True,True,[8],242,2830,3101,410,pass,
Q09,baseline,text,What is the document identifier?,True,[1],2,False,True,True,The document identifier is **AUR-MRA-001**.,False,True,True,True,False,"[1,2,3,4]",224,1728,1972,1913,pass,
Q09,docling_standard,text,What is the document identifier?,True,[1],1,True,True,True,The document identifier is AUR-MRA-001.,False,True,True,True,True,[1],344,3050,3421,307,pass,
Q10,baseline,text,What revision is this assessment?,True,[1],2,False,True,True,This assessment is Revision C of document AUR-MRA-001.,False,True,True,True,False,"[1,2,3,4]",583,1898,2501,1913,pass,
Q10,docling_standard,text,What revision is this assessment?,True,[1],1,True,True,True,The assessment is Revision C.,False,True,True,True,True,[1],591,1924,2546,203,pass,
Q11,baseline,text,When was the assessment released?,True,[1],1,True,True,True,"The assessment was released on August 28, 2026.",False,True,True,True,False,"[1,2,3,4]",593,2048,2662,1913,pass,
Q11,docling_standard,text,When was the assessment released?,True,[1],1,True,True,True,"The assessment was released on August 28, 2026.",False,True,True,True,True,[1],228,2449,2704,191,pass,
Q12,baseline,code,Which requirement identifier appears in the thermal-margin code sample?,True,[9],1,True,True,True,The thermal-margin code sample uses the requirement identifier **REQ-207**.,False,True,True,True,False,"[9,10]",360,2876,3261,1913,pass,
Q12,docling_standard,code,Which requirement identifier appears in the thermal-margin code sample?,True,[9],1,True,True,True,The requirement identifier that appears in the thermal-margin code sample is **REQ-207**.,False,True,True,True,True,[9],494,2409,2932,1065,pass,
Q13,baseline,unsupported,What was the contract award date?,False,[],,,,,"The supplied evidence does not state the contract award date, so this information cannot be determined from the documents provided.",True,,,,,[],607,1838,2465,1913,pass,
Q13,docling_standard,unsupported,What was the contract award date?,False,[],,,,,"The contract award date is not provided in the supplied evidence, so I cannot determine it from these documents.",True,,,,,[],608,1491,2126,260,pass,
Q14,baseline,unsupported,Who is the program's chief executive?,False,[],,,,,"The supplied evidence does not identify the program’s chief executive. This information is explicitly outside the scope of the provided document, which notes that it does not include executive biographies or similar personnel details.",True,,,,,[],405,2413,2838,1913,pass,
Q14,docling_standard,unsupported,Who is the program's chief executive?,False,[],,,,,The supplied evidence does not identify the program’s chief executive. This information is not present in the provided documents.,True,,,,,[],613,1813,2458,182,pass,
